Month,Nocc,Nos,Nocic,Noc,Nos/Nocc,Solc
January,482531,6860,10872,5024,0.01421670317554727,176
February,224866,18287,28013,11870,0.08132398850871185,183
March,373570,34372,49996,20202,0.09200952967315362,226
April,567343,41564,59711,25764,0.07326079637891011,226
May,294982,26786,42130,18234,0.09080554067705826,226
June,48307,8155,13741,5668,0.16881611360672366,283
July,43089,9001,12960,5687,0.20889322100768176,283
August,178357,29427,39608,20224,0.1649893191744647,283
September,284190,40701,54270,27844,0.14321756571307928,283
October,377348,31376,46176,21753,0.08314871153418064,283
November,1255833,47177,62969,34850,0.037566300614811046,283
December,1299987,51047,71458,38833,0.03926731575008058,800
Total,5430403,344753,491904,235953,0.06348571183390993,800
