start_time,end_time,country,Alpha,Delta,Omicron,Others,months_start_time_float,months_end_time_float
2020-12-21,2021-01-04,Denmark,0.02,0,0,0.98,-0.3548387096774194,0.0967741935483871
2021-01-04,2021-01-18,Denmark,0.05,0,0,0.95,0.0967741935483871,0.5483870967741935
2021-01-18,2021-02-01,Denmark,0.15,0,0,0.85,0.5483870967741935,1
2021-02-01,2021-02-15,Denmark,0.38,0,0,0.62,1,1.5
2021-02-15,2021-03-01,Denmark,0.71,0,0,0.29,1.5,2
2021-03-01,2021-03-15,Denmark,0.89,0,0,0.11,2,2.4516129032258065
2021-03-15,2021-04-24,Denmark,0.95,0,0,0.05,2.4516129032258065,3.7666666666666666
2021-04-24,2021-06-07,Denmark,0.99,0,0,0.01,3.7666666666666666,5.2
2021-06-07,2021-06-21,Denmark,0.94,0.05,0,0.01,5.2,5.666666666666667
2021-06-21,2021-07-05,Denmark,0.4,0.58,0,0.02,5.666666666666667,6.129032258064516
2021-07-05,2021-07-19,Denmark,0.08,0.92,0,0,6.129032258064516,6.580645161290323
2021-07-19,2021-11-22,Denmark,0,1,0,0,6.580645161290323,10.7
2021-11-22,2021-12-06,Denmark,0,0.99,0.01,0,10.7,11.161290322580646
2021-12-06,2021-12-20,Denmark,0,0.77,0.23,-0,11.161290322580646,11.612903225806452
2021-12-20,2022-01-03,Denmark,0,0.15,0.85,0,11.612903225806452,12.064516129032258
2022-01-03,2022-01-17,Denmark,0,0.02,0.98,0,12.064516129032258,12.516129032258064
2020-12-21,2021-01-04,Germany,0.04,0,0,0.96,-0.3548387096774194,0.0967741935483871
2021-01-04,2021-01-18,Germany,0.07,0,0,0.93,0.0967741935483871,0.5483870967741935
2021-01-18,2021-02-01,Germany,0.15,0,0,0.85,0.5483870967741935,1
2021-02-01,2021-02-15,Germany,0.34,0,0,0.66,1,1.5
2021-02-15,2021-03-01,Germany,0.52,0,0,0.48,1.5,2
2021-03-01,2021-03-15,Germany,0.69,0,0,0.31,2,2.4516129032258065
2021-03-15,2021-04-24,Germany,0.92,0,0,0.08,2.4516129032258065,3.7666666666666666
2021-04-24,2021-06-07,Germany,0.87,0.06,0,0.07,3.7666666666666666,5.2
2021-06-07,2021-06-21,Germany,0.62,0.3,0,0.08,5.2,5.666666666666667
2021-06-21,2021-07-05,Germany,0.26,0.67,0,0.07,5.666666666666667,6.129032258064516
2021-07-05,2021-07-19,Germany,0.06,0.9,0,0.04,6.129032258064516,6.580645161290323
2021-07-19,2021-11-22,Germany,0,1,0,0,6.580645161290323,10.7
2021-11-22,2021-12-06,Germany,0,0.98,0.01,0.01,10.7,11.161290322580646
2021-12-06,2021-12-20,Germany,0,0.92,0.08,-0,11.161290322580646,11.612903225806452
2021-12-20,2022-01-03,Germany,0,0.58,0.41,0.01,11.612903225806452,12.064516129032258
2022-01-03,2022-01-17,Germany,0,0.21,0.79,0,12.064516129032258,12.516129032258064
2020-12-21,2021-01-04,Switzerland,0.04,0,0,0.96,-0.3548387096774194,0.0967741935483871
2021-01-04,2021-01-18,Switzerland,0.09,0,0,0.91,0.0967741935483871,0.5483870967741935
2021-01-18,2021-02-01,Switzerland,0.24,0,0,0.76,0.5483870967741935,1
2021-02-01,2021-02-15,Switzerland,0.53,0,0,0.47,1,1.5
2021-02-15,2021-03-01,Switzerland,0.68,0,0,0.32,1.5,2
2021-03-01,2021-03-15,Switzerland,0.85,0,0,0.15,2,2.4516129032258065
2021-03-15,2021-04-24,Switzerland,0.92,0,0,0.08,2.4516129032258065,3.7666666666666666
2021-04-24,2021-06-07,Switzerland,0.88,0.06,0,0.06,3.7666666666666666,5.2
2021-06-07,2021-06-21,Switzerland,0.72,0.19,0,0.09,5.2,5.666666666666667
2021-06-21,2021-07-05,Switzerland,0.32,0.58,0,0.1,5.666666666666667,6.129032258064516
2021-07-05,2021-07-19,Switzerland,0.06,0.92,0,0.02,6.129032258064516,6.580645161290323
2021-07-19,2021-11-22,Switzerland,0,1,0,0,6.580645161290323,10.7
2021-11-22,2021-12-06,Switzerland,0,0.97,0.02,0.01,10.7,11.161290322580646
2021-12-06,2021-12-20,Switzerland,0,0.85,0.15,0,11.161290322580646,11.612903225806452
2021-12-20,2022-01-03,Switzerland,0,0.39,0.61,0,11.612903225806452,12.064516129032258
2022-01-03,2022-01-17,Switzerland,0,0.1,0.9,0,12.064516129032258,12.516129032258064
